%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
72.0, -186487.33186570788, -163621.38552920648, -187500.02235174447, -187500.02235174447, -185885.3323322931, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143204634953E9, 0.0, 2024-11-06 14:32:00.463
73.0, -138556.56398016977, -104434.07797027564, -181858.59851343615, -187500.02235174447, -143118.04093337548, -183721.52700680817, -181943.71395632197, -185777.17224087386, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730914320463549E9, 0.0, 2024-11-06 14:32:00.463
74.0, -77825.2202660108, -46847.311776555995, -160443.5262612732, -187500.02235174447, -101282.32553986616, -163070.6385458277, -167124.01564407535, -173598.75721916644, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143204635756E9, 0.0, 2024-11-06 14:32:00.463
75.0, -134020.6350708765, -98412.6297727382, -178728.8849030596, -187500.02235174447, -147076.64663513264, -178168.63842828732, -183898.15049149402, -184282.10875774728, 0.40800000000000003, 0.844, 0.436, 192.0, 12.0, 192.0, 26.0, 96.0, 13.0, 160.0, 0.0, 0.0, 0.0, 1.7309143204636366E9, 0.0, 2024-11-06 14:32:00.463
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41200000000000003, 0.846, 0.432, 192.0, 12.0, 224.0, 26.0, 112.0, 13.0, 128.0, 0.0, 0.0, 0.0, 1.7309143205365832E9, 0.0, 2024-11-06 14:32:00.536
1.0, -126256.53311688104, -71089.4326674262, -185085.16223253755, -187500.02235174447, -134157.3159882207, -177797.42065637358, -187500.02235174447, -184141.42687814558, 0.41200000000000003, 0.846, 0.432, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730914320554665E9, 0.0, 2024-11-06 14:32:00.554
2.0, -117117.97769283984, -69886.5511878194, -181492.7898636806, -187500.02235174447, -124869.18269028458, -187500.02235174447, -182400.74007519963, -187500.02235174447, 0.41200000000000003, 0.846, 0.432, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143205576465E9, 0.0, 2024-11-06 14:32:00.557
3.0, -119305.07353604717, -68027.71306368269, -181684.36666540703, -187500.02235174447, -131041.10283149515, -186575.6436080508, -184124.32779363726, -187500.02235174447, 0.41200000000000003, 0.846, 0.432, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143205607362E9, 0.0, 2024-11-06 14:32:00.560
4.0, -129167.0878728733, -69101.98260569366, -185352.64555843422, -187500.02235174447, -141476.6405793, -172428.7551556534, -187500.02235174447, -182925.1343518656, 0.41200000000000003, 0.846, 0.432, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143205647812E9, 0.0, 2024-11-06 14:32:00.564
5.0, -128174.64806731322, -70946.38150291223, -185585.43897693622, -187500.02235174447, -136606.6424973777, -175343.22146692534, -187500.02235174447, -183437.03400338104, 0.41200000000000003, 0.846, 0.432, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143205676565E9, 0.0, 2024-11-06 14:32:00.567
6.0, -118805.4449922377, -70198.64859564885, -182019.70988747, -187500.02235174447, -126148.99887430655, -187500.02235174447, -183124.7801333404, -187500.02235174447, 0.41200000000000003, 0.846, 0.432, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730914320570691E9, 0.0, 2024-11-06 14:32:00.570
7.0, -118328.2799516058, -68111.71091934573, -181246.65245373876, -187500.02235174447, -129380.97171556613, -187500.02235174447, -183213.76242801695, -187500.02235174447, 0.41200000000000003, 0.846, 0.432, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143205757692E9, 0.0, 2024-11-06 14:32:00.575
8.0, -128300.57779557441, -68680.3616500332, -184775.74703404272, -187500.02235174447, -140913.8013021709, -174985.34768645142, -187500.02235174447, -183589.4281970773, 0.41400000000000003, 0.84, 0.426, 192.0, 12.0, 240.0, 26.0, 64.0, 13.0, 80.0, 0.0, 0.0, 0.0, 1.7309143205797074E9, 0.0, 2024-11-06 14:32:00.579
9.0, -129815.06494463266, -70699.10415400317, -185958.55664712866, -187500.02235174447, -138908.17927219623, -173175.370475694, -187500.02235174447, -182837.31434790068, 0.41400000000000003, 0.84, 0.426, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143205836117E9, 0.0, 2024-11-06 14:32:00.583
10.0, -120779.30519334141, -70446.88706956948, -182651.5713514771, -187500.02235174447, -127891.76438948684, -186461.15797295072, -184026.31539420073, -187110.83377728867, 0.41400000000000003, 0.84, 0.426, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143205875983E9, 0.0, 2024-11-06 14:32:00.587
11.0, -117705.67210980321, -68292.60358722253, -180955.72214790847, -187500.02235174447, -127989.03918135635, -187500.02235174447, -182479.77584359358, -187500.02235174447, 0.41400000000000003, 0.84, 0.426, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730914320591823E9, 0.0, 2024-11-06 14:32:00.591
12.0, -127118.99752843351, -68309.76972696421, -184106.33463935074, -187500.02235174447, -139851.9593300771, -177918.92473923264, -187500.02235174447, -184403.14345397276, 0.41400000000000003, 0.84, 0.426, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143205957465E9, 0.0, 2024-11-06 14:32:00.595
13.0, -131109.63327999512, -70370.48880702125, -186169.8923909536, -187500.02235174447, -140924.59719474282, -171555.96423816256, -187500.02235174447, -182415.73809572915, 0.41400000000000003, 0.84, 0.426, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730914320598637E9, 0.0, 2024-11-06 14:32:00.598
14.0, -122957.48269051108, -70633.61354274911, -183324.9623566821, -187500.02235174447, -130011.9838132839, -184880.04027367118, -185050.00293850934, -186340.0338697474, 0.41400000000000003, 0.84, 0.426, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730914320602632E9, 0.0, 2024-11-06 14:32:00.602
15.0, -117563.40325634519, -68574.90611969306, -180848.65729196757, -187500.02235174447, -127044.72268160853, -187500.02235174447, -182003.08018959526, -187500.02235174447, 0.41400000000000003, 0.84, 0.426, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143206076033E9, 0.0, 2024-11-06 14:32:00.607
16.0, -125735.93863677248, -68012.15624954179, -183412.13416005782, -187500.02235174447, -138411.43410342146, -180882.78840575082, -186797.79759619207, -185306.22098520055, 0.41400000000000003, 0.84, 0.426, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730914320611744E9, 0.0, 2024-11-06 14:32:00.611
17.0, -131996.63990695952, -69981.32258430989, -186205.9010512711, -187500.02235174447, -142545.29983345268, -170713.52698964204, -187500.02235174447, -182201.72014256957, 0.41400000000000003, 0.84, 0.426, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143206162548E9, 0.0, 2024-11-06 14:32:00.616
18.0, -125203.49773210261, -70757.39750354261, -184005.170643946, -187500.02235174447, -132357.2853037459, -182812.14628364402, -186058.5583518217, -185506.44791203117, 0.41200000000000003, 0.844, 0.43, 192.0, 12.0, 224.0, 26.0, 96.0, 13.0, 112.0, 0.0, 0.0, 0.0, 1.7309143206197133E9, 0.0, 2024-11-06 14:32:00.619
19.0, -117912.29163554808, -68898.9617108061, -180917.9029962901, -187500.02235174447, -126636.06573773215, -187500.02235174447, -181847.40028946404, -187500.02235174447, 0.41200000000000003, 0.844, 0.43, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730914320623602E9, 0.0, 2024-11-06 14:32:00.623
20.0, -124305.27052942164, -67797.75831672648, -182719.61006159903, -187500.02235174447, -136745.2680164895, -183525.72572537969, -185859.7619366362, -186217.1439787321, 0.41200000000000003, 0.844, 0.43, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730914320626727E9, 0.0, 2024-11-06 14:32:00.626
21.0, -132413.2093683731, -69557.667619904, -186049.4611918284, -187500.02235174447, -143627.7501139343, -170840.574305126, -187500.02235174447, -182235.04659355243, 0.41200000000000003, 0.844, 0.43, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143206306102E9, 0.0, 2024-11-06 14:32:00.630
