%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
120.0, -187023.4384564684, -182570.3898156154, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -186587.84766052337, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143133428445E9, 0.0, 2024-11-06 14:31:53.342
121.0, -185221.12789405917, -185966.96090304386, -186300.24776461694, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730914313342877E9, 0.0, 2024-11-06 14:31:53.342
122.0, -186380.37876848923, -185198.30676297031, -186544.3288140689, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730914313342896E9, 0.0, 2024-11-06 14:31:53.342
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.418, 0.844, 0.428, 192.0, 13.0, 16.0, 26.0, 96.0, 13.0, 96.0, 0.0, 0.0, 0.0, 1.730914313403866E9, 0.0, 2024-11-06 14:31:53.403
1.0, -187500.02235174447, -182396.13561584183, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -186573.9448754722, 0.418, 0.844, 0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143134217896E9, 0.0, 2024-11-06 14:31:53.421
2.0, -185524.26225236207, -185866.1098320615, -186633.2440535121, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.418, 0.844, 0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730914313424778E9, 0.0, 2024-11-06 14:31:53.424
3.0, -186319.42556135962, -185732.46875196323, -186546.56398851445, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.418, 0.844, 0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143134289153E9, 0.0, 2024-11-06 14:31:53.428
4.0, -187500.02235174447, -182167.0078834305, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -186398.6401437092, 0.418, 0.844, 0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143134318612E9, 0.0, 2024-11-06 14:31:53.431
5.0, -187500.02235174447, -181919.55172056577, -187500.02235174447, -187216.2893076288, -187500.02235174447, -187500.02235174447, -187500.02235174447, -186306.90858446463, 0.418, 0.844, 0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143134347873E9, 0.0, 2024-11-06 14:31:53.434
6.0, -185750.97599637223, -185330.51733142344, -186945.60968227504, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.418, 0.844, 0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7309143134387932E9, 0.0, 2024-11-06 14:31:53.438
