%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
63.0, 145824.4795590019, 145724.92488919795, 145930.00214457538, 145904.56585938524, 145889.1878592, 145871.7758502693, 145887.82440278822, 145865.40560309956, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7401441145857975E9, 0.0, 2025-02-21 10:21:54.585
64.0, 145786.92862831696, 145687.32925502412, 145892.47356563492, 145866.99257695588, 145851.61457677063, 145834.20256783994, 145850.40758257004, 145827.8323206702, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7401441145858276E9, 0.0, 2025-02-21 10:21:54.585
65.0, 145749.5565115877, 145650.0241935282, 145855.14615239456, 145829.64281197105, 145814.3095152747, 145796.91985808848, 145813.03546584077, 145790.48255568536, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7401441145858457E9, 0.0, 2025-02-21 10:21:54.585
66.0, 145715.2912873377, 145615.8707280005, 145820.85857640012, 145795.37758772107, 145780.06664276918, 145762.72168907186, 145778.72553810186, 145756.2620349243, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740144114585863E9, 0.0, 2025-02-21 10:21:54.585
67.0, 145681.71896716583, 145582.27605608417, 145787.3086079727, 145761.78291580474, 145746.4943225973, 145729.17172064446, 145745.06381095218, 145722.82382521915, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7401441145858796E9, 0.0, 2025-02-21 10:21:54.585
68.0, 145647.18552198238, 145547.8096661341, 145752.77516278924, 145727.20476713238, 145712.07263613614, 145694.61592371654, 145710.55271751317, 145688.31273178014, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7401441145858967E9, 0.0, 2025-02-21 10:21:54.585
69.0, 145612.8308907546, 145513.45503490628, 145718.37582807255, 145692.87248764903, 145677.65094967498, 145660.26129248875, 145676.0863275631, 145653.84634183007, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740144114585914E9, 0.0, 2025-02-21 10:21:54.585
70.0, 145580.62202699448, 145481.2014676573, 145686.12226082353, 145660.6859756334, 145645.39738242596, 145628.00772523973, 145643.85511205855, 145621.59277458105, 0.052000000000000005, 0.932, 0.356, 192.0, 1.0, 160.0, 29.0, 32.0, 11.0, 32.0, 0.0, 0.0, 0.0, 1.7401441145859308E9, 0.0, 2025-02-21 10:21:54.585
71.0, 145548.2567010232, 145448.74673470817, 145653.71223136334, 145628.29829791764, 145612.98735296578, 145595.59769577955, 145611.55684132062, 145589.13804163196, 0.052000000000000005, 0.932, 0.356, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74014411458595E9, 0.0, 2025-02-21 10:21:54.585
72.0, 145510.54930812708, 145411.19580402324, 145616.16130067842, 145590.613256766, 145575.43642228085, 145558.04676509462, 145573.9612071468, 145551.5647592026, 0.052000000000000005, 0.932, 0.356, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7401441145859673E9, 0.0, 2025-02-21 10:21:54.585
