%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
91.0, -155143.72648521978, -155201.55044812566, -155327.30136243123, -86975.30919019094, 179268.09838629942, -53576.7961832042, -145366.49231511264, -72171.05593336296, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453554493449E9, 0.0, 2024-11-04 15:35:55.449
92.0, -155141.58071775208, -155199.33762542458, -155325.08853973015, -86979.28780070398, 179261.97400831868, -53709.252620846346, -145724.20963337537, -72378.97186028623, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453554493775E9, 0.0, 2024-11-04 15:35:55.449
93.0, -155138.5185287617, -155196.25308468976, -155321.9145920175, -87220.4854751212, 179276.9720288482, -53857.109410418205, -145765.87328504006, -72436.95228540328, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453554493966E9, 0.0, 2024-11-04 15:35:55.449
94.0, -155135.25517407124, -155192.98972999927, -155318.62888558256, -87583.83543298667, 179292.79706392254, -54000.853479010286, -145730.31165961167, -72472.44685559832, 0.514, 0.15, 0.932, 192.0, 16.0, 16.0, 4.0, 176.0, 29.0, 32.0, 0.0, 0.0, 0.0, 1.730745355449427E9, 0.0, 2024-11-04 15:35:55.449
0.0, -12375.535056058772, 29815.2377981231, -87954.06972814439, -82499.61823220471, -12712.08527232233, 187500.0, -47091.16930856339, 94971.0646237212, 0.02, 0.486, 0.17, 192.0, 0.0, 160.0, 15.0, 48.0, 5.0, 80.0, 0.0, 0.0, 0.0, 1.730745355555925E9, 0.0, 2024-11-04 15:35:55.555
1.0, -12105.72714873876, 30060.034103397622, -88019.40387718724, -82598.502349675, -12780.749831289033, 187500.0, -47379.01507365883, 94581.38431088738, 0.02, 0.486, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453555588024E9, 0.0, 2024-11-04 15:35:55.558
2.0, -11372.969910260428, 30176.39728503195, -88138.98571002313, -82920.30041459804, -12507.119775667165, 187500.0, -47619.586899231304, 94153.61662550172, 0.02, 0.486, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730745355564104E9, 0.0, 2024-11-04 15:35:55.564
3.0, -11818.462528999155, 30042.487984000207, -88456.40283303295, -83177.54664153417, -12646.59466106828, 187500.0, -47662.658710796684, 94191.18990793108, 0.02, 0.486, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453555669875E9, 0.0, 2024-11-04 15:35:55.566
4.0, -12890.273379120039, 29993.805884576548, -88758.41960411306, -83218.4950373763, -13156.259138138192, 187500.0, -47722.1143510478, 94335.78334281247, 0.02, 0.486, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453555709584E9, 0.0, 2024-11-04 15:35:55.570
5.0, -12866.35701255286, 30210.12606741501, -88846.10549761124, -83279.62705846156, -13331.720332112352, 187500.0, -47981.61810417391, 94030.97260367544, 0.02, 0.486, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453555748897E9, 0.0, 2024-11-04 15:35:55.574
6.0, -12055.614537669962, 30393.58918590417, -88935.73599287702, -83574.73714050498, -13084.845314603486, 187500.0, -48262.490124999305, 93554.92515026631, 0.02, 0.486, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453555788336E9, 0.0, 2024-11-04 15:35:55.578
7.0, -12259.730668035827, 30282.18809153892, -89225.28049055106, -83866.78503355802, -13104.693663679798, 187500.0, -48329.43359964295, 93507.24887934314, 0.036000000000000004, 0.716, 0.254, 192.0, 1.0, 32.0, 22.0, 96.0, 7.0, 240.0, 0.0, 0.0, 0.0, 1.7307453555829573E9, 0.0, 2024-11-04 15:35:55.582
8.0, -13363.817437150174, 30188.69074448237, -89553.73937532179, -83936.2095518362, -13593.906294573104, 187500.0, -48354.78047785527, 93696.94813453534, 0.036000000000000004, 0.716, 0.254, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453555870636E9, 0.0, 2024-11-04 15:35:55.587
9.0, -13591.268788727379, 30371.907993782523, -89669.78963253375, -83963.50103181614, -13886.691795193172, 187500.0, -48583.05884397732, 93484.80772791001, 0.036000000000000004, 0.716, 0.254, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730745355590001E9, 0.0, 2024-11-04 15:35:55.590
10.0, -12780.52631384448, 30596.766543002912, -89736.1296100771, -84225.41877334342, -13658.07815290429, 187500.0, -48885.097966801884, 92978.31719855276, 0.036000000000000004, 0.716, 0.254, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453555949368E9, 0.0, 2024-11-04 15:35:55.594
11.0, -12724.89282189522, 30528.392556714127, -89989.0395985889, -84545.04871905432, -13584.07152701277, 187500.0, -48991.33580819795, 92833.25437703781, 0.036000000000000004, 0.716, 0.254, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453555988355E9, 0.0, 2024-11-04 15:35:55.598
12.0, -13795.653140026707, 30396.69607838346, -90339.00086152564, -84657.72386285351, -14044.986849425657, 187500.0, -49004.27746823758, 93033.16837944608, 0.036000000000000004, 0.716, 0.254, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556029267E9, 0.0, 2024-11-04 15:35:55.602
13.0, -14284.239922075263, 30522.491696177924, -90495.37366573498, -84670.77728161542, -14408.336807291129, 187500.0, -49192.25563910671, 92911.88781403158, 0.036000000000000004, 0.716, 0.254, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556070087E9, 0.0, 2024-11-04 15:35:55.607
14.0, -13540.10564566918, 30784.118865027296, -90546.84973321554, -84887.70096155418, -14244.207947755809, 187500.0, -49510.72329410593, 92404.14558698483, 0.036000000000000004, 0.716, 0.254, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556099508E9, 0.0, 2024-11-04 15:35:55.609
15.0, -13235.563127465623, 30776.027533534474, -90758.49840146284, -85219.11027659301, -14103.570771643017, 187500.0, -49659.80942962282, 92168.96053182609, 0.036000000000000004, 0.716, 0.254, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556139789E9, 0.0, 2024-11-04 15:35:55.613
16.0, -14211.775566551158, 30606.377793118692, -91113.66762085768, -85376.77948198075, -14463.72443005138, 187500.0, -49651.092249285255, 92361.47610681965, 0.036000000000000004, 0.716, 0.254, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556179678E9, 0.0, 2024-11-04 15:35:55.617
17.0, -14927.925458899195, 30678.350410264782, -91311.77113196507, -85380.89220296052, -14897.750603884531, 187500.0, -49795.57392544436, 92340.33135656493, 0.042, 0.836, 0.3, 192.0, 1.0, 80.0, 26.0, 32.0, 9.0, 96.0, 0.0, 0.0, 0.0, 1.7307453556220653E9, 0.0, 2024-11-04 15:35:55.622
18.0, -14314.772405001213, 30959.13302411235, -91357.77102205409, -85546.9880160079, -14839.703123534098, 187500.0, -50119.22718515721, 91866.5861328347, 0.042, 0.836, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556270387E9, 0.0, 2024-11-04 15:35:55.627
19.0, -13807.343102376832, 30997.578024575476, -91532.94164335032, -85885.05815089443, -14617.415024926071, 187500.0, -50305.52897519219, 91542.82111439957, 0.042, 0.836, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730745355630866E9, 0.0, 2024-11-04 15:35:55.630
20.0, -14621.103062761196, 30827.972987648605, -91885.45100515497, -86084.92744981378, -14898.309397495914, 187500.0, -50308.88173686049, 91687.16868009194, 0.042, 0.836, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556350558E9, 0.0, 2024-11-04 15:35:55.635
21.0, -15505.852163535616, 30868.720217790633, -92123.0947522038, -86090.18010976078, -15411.170174022935, 187500.0, -50425.468435939365, 91747.63014884356, 0.042, 0.836, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556380591E9, 0.0, 2024-11-04 15:35:55.638
22.0, -15099.720966782686, 31114.991738199205, -92178.4600232196, -86220.78135261314, -15413.964142079849, 187500.0, -50723.75246569544, 91328.26671937307, 0.042, 0.836, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556420724E9, 0.0, 2024-11-04 15:35:55.642
23.0, -14445.127778664564, 31182.292840754133, -92319.83480689941, -86559.67850204451, -15135.081426510982, 187500.0, -50935.46818917611, 90935.4124588266, 0.042, 0.836, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556459503E9, 0.0, 2024-11-04 15:35:55.645
24.0, -15023.166242023259, 31060.520536961623, -92648.18193294787, -86788.11333037775, -15358.554167575143, 187500.0, -50970.7839454155, 91014.5376341984, 0.042, 0.836, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556499777E9, 0.0, 2024-11-04 15:35:55.649
25.0, -16043.36691419684, 31044.80726060954, -92924.22597697092, -86809.97333645503, -15875.95234822659, 187500.0, -51047.78570506402, 91137.42752521367, 0.042, 0.836, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556550255E9, 0.0, 2024-11-04 15:35:55.655
26.0, -15868.844493489802, 31267.698856317864, -92995.28217259434, -86897.12278808627, -15975.238797097063, 187500.0, -51321.54987115263, 90786.59454424317, 0.042, 0.836, 0.3, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556595433E9, 0.0, 2024-11-04 15:35:55.659
27.0, -15082.443068318735, 31426.93268381747, -93097.96608662202, -87205.80037901406, -15725.703921998016, 187500.0, -51586.1274702701, 90331.96006202222, 0.046, 0.894, 0.324, 192.0, 1.0, 112.0, 27.0, 240.0, 10.0, 32.0, 0.0, 0.0, 0.0, 1.7307453556631956E9, 0.0, 2024-11-04 15:35:55.663
28.0, -15455.024296644247, 31278.539452378685, -93407.76126477258, -87485.86773703907, -15805.991388081478, 187500.0, -51625.71240970045, 90338.26325395862, 0.046, 0.894, 0.324, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730745355666102E9, 0.0, 2024-11-04 15:35:55.666
29.0, -16556.831187824155, 31197.69319268384, -93721.73621913628, -87543.37877552256, -16303.60827488998, 187500.0, -51662.05634618478, 90512.02571535418, 0.046, 0.894, 0.324, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556701045E9, 0.0, 2024-11-04 15:35:55.670
30.0, -16613.71637746291, 31418.0143377798, -93816.14998771549, -87588.84222374466, -16542.682533583946, 187500.0, -51918.78848299843, 90246.44228773622, 0.046, 0.894, 0.324, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556739032E9, 0.0, 2024-11-04 15:35:55.673
31.0, -15797.810649610836, 31613.212122107998, -93894.3140380757, -87873.15641321617, -16285.168085714351, 187500.0, -52202.74504455865, 89758.79427895478, 0.046, 0.894, 0.324, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.730745355677982E9, 0.0, 2024-11-04 15:35:55.677
32.0, -15914.48675566754, 31495.418428828532, -94170.6263030322, -88182.81748089999, -16246.298402106573, 187500.0, -52269.129725590916, 89679.8702692831, 0.046, 0.894, 0.324, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556829448E9, 0.0, 2024-11-04 15:35:55.682
33.0, -17012.672664245685, 31382.899747240517, -94507.46709197368, -88269.76576683114, -16739.087312112726, 187500.0, -52286.72054847724, 89883.74053045995, 0.046, 0.894, 0.324, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556870408E9, 0.0, 2024-11-04 15:35:55.687
34.0, -17338.248173981687, 31549.37553994364, -94636.77193364763, -88287.91538332884, -17060.66185959123, 187500.0, -52502.43723421541, 89709.59808940865, 0.046, 0.894, 0.324, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556901276E9, 0.0, 2024-11-04 15:35:55.690
35.0, -16558.216995980383, 31772.58006007434, -94698.21687915527, -88536.69029911641, -16838.753740638942, 187500.0, -52803.224659350475, 89206.14739729732, 0.046, 0.894, 0.324, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556939464E9, 0.0, 2024-11-04 15:35:55.693
36.0, -16417.937447778877, 31705.79304764188, -94938.54283553873, -88867.45141356604, -16737.96972488996, 187500.0, -52915.89980314968, 89033.48017138007, 0.046, 0.894, 0.324, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453556980915E9, 0.0, 2024-11-04 15:35:55.698
37.0, -17450.476282891785, 31565.66996165156, -95288.92878162012, -88996.06335116188, -17166.74323877612, 187500.0, -52922.87354741974, 89230.39904003132, 0.042, 0.926, 0.334, 192.0, 1.0, 80.0, 28.0, 240.0, 10.0, 112.0, 0.0, 0.0, 0.0, 1.7307453557021396E9, 0.0, 2024-11-04 15:35:55.702
38.0, -18019.752862424, 31680.446169429564, -95457.84091446888, -89001.04779017542, -17561.698563301394, 187500.0, -53099.6311425723, 89146.22237041264, 0.042, 0.926, 0.334, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453557062576E9, 0.0, 2024-11-04 15:35:55.706
39.0, -17326.938191287303, 31935.904256809266, -95506.03127551453, -89202.36995248437, -17432.840756516547, 187500.0, -53412.71202715779, 88659.98252153189, 0.042, 0.926, 0.334, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453557111976E9, 0.0, 2024-11-04 15:35:55.711
40.0, -16958.514387430478, 31918.089916478388, -95705.18531861131, -89544.2398839283, -17237.03947508806, 187500.0, -53559.11595334005, 88398.6682771049, 0.042, 0.926, 0.334, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453557150724E9, 0.0, 2024-11-04 15:35:55.715
41.0, -17877.238139776964, 31740.99704515899, -96059.25930252783, -89720.81866512522, -17565.0960284586, 187500.0, -53550.84580789159, 88572.49779373381, 0.042, 0.926, 0.334, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453557181363E9, 0.0, 2024-11-04 15:35:55.718
42.0, -18650.899070608506, 31806.53235990195, -96267.30933991783, -89720.75160989186, -18044.362133069295, 187500.0, -53686.14091707956, 88583.42779677246, 0.042, 0.926, 0.334, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453557221344E9, 0.0, 2024-11-04 15:35:55.722
43.0, -18118.324055471905, 32068.58421189597, -96316.23730853049, -89876.09623385624, -18001.357376737284, 187500.0, -53997.38895861971, 88132.01196575307, 0.042, 0.926, 0.334, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453557263198E9, 0.0, 2024-11-04 15:35:55.726
44.0, -17580.47402864385, 32087.851415616446, -96484.05420590095, -90224.91755782576, -17740.17724277702, 187500.0, -54179.44391720819, 87789.9185168646, 0.042, 0.926, 0.334, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453557301865E9, 0.0, 2024-11-04 15:35:55.730
45.0, -18325.547078317057, 31898.509788335537, -96828.98632633523, -90446.53510410013, -17988.259254486475, 187500.0, -54177.11933578484, 87923.04550684041, 0.042, 0.926, 0.334, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453557341015E9, 0.0, 2024-11-04 15:35:55.734
46.0, -19260.699362838193, 31909.529198352004, -97078.85647760112, -90458.31447342808, -18500.76240310221, 187500.0, -54274.93056952126, 88007.71391483712, 0.042, 0.926, 0.334, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453557391489E9, 0.0, 2024-11-04 15:35:55.739
47.0, -18943.483405528477, 32148.379939601415, -97140.05555391975, -90571.59311432757, -18542.180185577894, 187500.0, -54562.66457589443, 87613.98793625689, 0.04, 0.9400000000000001, 0.334, 192.0, 1.0, 64.0, 29.0, 96.0, 10.0, 112.0, 0.0, 0.0, 0.0, 1.7307453557429905E9, 0.0, 2024-11-04 15:35:55.742
48.0, -18262.7610281421, 32213.557626433092, -97272.60139853971, -90911.85372017071, -18257.441312961735, 187500.0, -54774.71557554193, 87213.35526863996, 0.04, 0.9400000000000001, 0.334, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453557464664E9, 0.0, 2024-11-04 15:35:55.746
49.0, -18793.346738022177, 32030.63094981086, -97600.32267574343, -91175.96193265462, -18396.960901851762, 187500.0, -54786.04790998076, 87279.49408048321, 0.04, 0.9400000000000001, 0.334, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453557500896E9, 0.0, 2024-11-04 15:35:55.750
50.0, -19848.460835034948, 31984.47459751065, -97889.5542489951, -91210.33891562688, -18911.565114446297, 187500.0, -54843.71541067546, 87423.97575664232, 0.04, 0.9400000000000001, 0.334, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7307453557541344E9, 0.0, 2024-11-04 15:35:55.754
